frame,time_s,angle_deg,leaflet_left_len,leaflet_right_len,asymmetry,tip_left_x,tip_left_y,tip_right_x,tip_right_y,base_left_x,base_left_y,base_right_x,base_right_y,angle_smooth_deg,speed_deg_s,asymmetry_smooth
136,4.537871204537871,4.6522737,423.58145,390.00418,0.08254145,12.0,30.0,58.0,20.0,368.0,256.0,390.0,227.0,41.51577226320902,-839.486911202073,0.09073531379302342
137,4.571237904571238,nan,nan,nan,nan,12.0,30.0,nan,nan,nan,nan,nan,nan,4.2889896631240845,-8.979468269348107,0.09346120804548264
138,4.604604604604605,3.9257057,413.20242,372.2113,0.104380965,12.0,30.0,61.0,31.0,359.0,249.0,362.0,255.0,40.91654181480408,820.5738981807231,0.0909083088239034
139,4.637971304637971,nan,nan,nan,nan,12.0,30.0,nan,nan,357.0,252.0,359.0,254.0,59.048675894737244,271.71002918779845,0.09509173780679703
140,4.671338004671338,114.171646,411.78696,377.90805,0.08580251,12.0,30.0,675.0,46.0,358.0,251.0,359.0,254.0,59.048675894737244,826.0177087980508,0.09509173780679703
141,4.704704704704705,nan,nan,nan,nan,12.0,30.0,nan,nan,nan,nan,361.0,252.0,114.17164611816406,826.0177087980508,0.08580251038074493
142,4.738071404738071,nan,nan,nan,nan,nan,nan,676.0,45.0,358.0,251.0,nan,nan,114.17164611816406,nan,0.08580251038074493
143,4.7714381047714385,nan,nan,nan,nan,662.0,388.0,676.0,45.0,nan,nan,358.0,251.0,nan,nan,nan
144,4.804804804804805,nan,nan,nan,nan,nan,nan,nan,nan,364.0,252.0,nan,nan,nan,nan,nan
145,4.838171504838171,nan,nan,nan,nan,12.0,30.0,54.0,436.0,nan,nan,364.0,251.0,nan,nan,nan
146,4.8715382048715385,nan,nan,nan,nan,12.0,30.0,50.0,452.0,321.0,204.0,nan,nan,nan,nan,nan
147,4.904904904904905,nan,nan,nan,nan,nan,nan,52.0,444.0,nan,nan,292.0,223.0,nan,nan,nan
148,4.938271604938272,nan,nan,nan,nan,12.0,30.0,49.0,445.0,364.0,198.0,nan,nan,nan,nan,nan
149,4.971638304971639,nan,nan,nan,nan,12.0,30.0,nan,nan,nan,nan,364.0,251.0,nan,nan,nan
